Samples	SBS96A	SBS96B	SBS96C
AX4912_vs_AX4894	4.08E+00	1.99E+00	4.04E+00
AX4914_vs_AX4895	2.48E+00	9.76E-01	2.70E+00
AX4915_vs_AX4895	3.90E+00	1.74E+00	4.17E+00
AX4916_vs_AX4896	4.12E+00	1.24E+00	4.27E+00
AX4918_vs_AX4897	3.16E+00	1.32E+00	3.41E+00
AX4921_vs_AX4898	4.50E+00	1.50E+00	4.45E+00
AX4923_vs_AX4906	2.67E+00	1.48E+00	2.81E+00
AX4925_vs_AX4901	5.74E+00	2.68E+00	5.74E+00
AX4927_vs_AX4905	7.06E+00	4.81E+00	5.75E+00
AX4928_vs_AQ5174	2.95E+00	1.27E+00	2.96E+00
AX4930_vs_AX4900	4.94E+00	1.23E+00	5.00E+00
AX4932_vs_AX4908	3.55E+00	1.21E+00	3.13E+00
AX4933_vs_AX4909	2.26E+01	1.11E+01	1.89E+01
AX4934_vs_AX4909	4.28E+00	1.45E+00	4.12E+00
AX4935_vs_AX4910	2.42E+00	6.19E+00	5.94E+00
AX4937_vs_AX4894	4.59E+00	1.73E+00	4.67E+00
AX4938_vs_AX4896	1.38E+00	9.10E-01	1.46E+00
AX4940_vs_AX4904	2.12E+00	1.06E+00	2.07E+00
AX4942_vs_AX4898	2.02E+00	9.74E-01	1.91E+00
AX4943_vs_AX4898	1.13E+00	4.68E-01	1.10E+00
AX4944_vs_AX4897	6.38E+00	1.94E+00	6.62E+00
AX4945_vs_AX4898	6.02E-01	5.10E-01	6.08E-01
AX4946_vs_AX4895	1.09E+01	2.17E+00	1.08E+01
AX4947_vs_AX4895	9.41E+00	1.58E+00	9.56E+00
AX4951_vs_AX4903	1.92E+01	2.11E+00	1.95E+01
AX4958_vs_AQ5174	6.52E+00	1.63E+00	6.33E+00
AX4961_vs_AQ5174	6.45E+00	1.87E+00	6.05E+00
DIAF_vs_BLOOD	1.40E+01	9.68E+00	1.08E+01
LNMETA_vs_BLOOD	2.39E+01	1.66E+01	1.71E+01
LN_vs_BLOOD	1.72E+01	4.12E+00	1.73E+01
OMEN_vs_BLOOD	6.21E+00	5.79E+00	5.17E+00
PADWRZ-01A_vs_PADWRZ-10A	9.84E-01	3.29E-01	9.70E-01
PADYZI-01A_vs_PADYZI-10A	3.40E+00	1.44E+00	2.98E+00
PAEHIP-01A_vs_PAEHIP-10A	1.34E+00	7.70E-01	1.27E+00
PAJLWM-01A_vs_PAJLWM-11A	1.38E+00	6.51E-01	1.45E+00
