Samples	SBS96A	SBS96B	SBS96C
AX4912_vs_AX4894	0	71	290
AX4914_vs_AX4895	0	17	253
AX4915_vs_AX4895	63	71	349
AX4916_vs_AX4896	0	23	382
AX4918_vs_AX4897	0	40	252
AX4921_vs_AX4898	93	56	368
AX4923_vs_AX4906	0	34	262
AX4925_vs_AX4901	66	116	507
AX4927_vs_AX4905	66	537	370
AX4928_vs_AQ5174	0	13	305
AX4930_vs_AX4900	85	38	376
AX4932_vs_AX4908	0	8	311
AX4933_vs_AX4909	372	371	214
AX4934_vs_AX4909	0	71	354
AX4935_vs_AX4910	0	1845	0
AX4937_vs_AX4894	220	36	15
AX4938_vs_AX4896	64	18	11
AX4940_vs_AX4904	106	13	10
AX4942_vs_AX4898	53	22	32
AX4943_vs_AX4898	38	4	27
AX4944_vs_AX4897	454	79	88
AX4945_vs_AX4898	8	7	12
AX4946_vs_AX4895	402	55	0
AX4947_vs_AX4895	329	29	12
AX4951_vs_AX4903	321	67	292
AX4958_vs_AQ5174	224	40	38
AX4961_vs_AQ5174	212	39	1
DIAF_vs_BLOOD	574	413	78
LNMETA_vs_BLOOD	796	900	235
LN_vs_BLOOD	1122	116	78
OMEN_vs_BLOOD	300	262	96
PADWRZ-01A_vs_PADWRZ-10A	32	2	0
PADYZI-01A_vs_PADYZI-10A	158	25	32
PAEHIP-01A_vs_PAEHIP-10A	65	19	26
PAJLWM-01A_vs_PAJLWM-11A	48	14	8
PAJNFP-01A_vs_PAJNFP-11A	214	22	0
PAKHTL-01A_vs_PAKHTL-11A	60	0	6
PAKLYZ-01A_vs_PAKLYZ-10A	131	13	31
PAKTCT-01A_vs_PAKTCT-11A	21	7	14
PARECB-01A_vs_PARECB-11A	9	5	7
PAREWI-01A_vs_PAREWI-11A	166	17	0
PARGRN-01A_vs_PARGRN-10A	226	23	0
PARIRN-01A_vs_PARIRN-10A	44	5	14
PARPFY-01A_vs_PARPFY-11A	84	26	16
PARZRH-01A_vs_PARZRH-10A	19	2	10
PASABD-01A_vs_PASABD-10A	86	6	29
PASADZ-01A_vs_PASADZ-10A	14	5	6
PASCDH-01A_vs_PASCDH-10A	233	25	77
PASDLA-01A_vs_PASDLA-11A	25	5	4
PASVDP-01A_vs_PASVDP-10A	30	7	17
PASWZZ-01A_vs_PASWZZ-10A	44	6	14
PASXNA-01A_vs_PASXNA-11A	12	2	0
PATAFT-01A_vs_PATAFT-10A	94	18	24
PATDVL-01A_vs_PATDVL-10A	11	0	7
PATENH-01A_vs_PATENH-11A	49	2	13
PATFXW-01A_vs_PATFXW-10A	85	0	17
PATFZZ-01A_vs_PATFZZ-10A	73	22	28
PATXEE-01A_vs_PATXEE-10A	259	39	62
PAUEKW-01A_vs_PAUEKW-10A	12	2	24
PAUFVP-01A_vs_PAUFVP-11A	31	7	25
PAUGYZ-01A_vs_PAUGYZ-10A	77	16	4
PAUHAZ-01A_vs_PAUHAZ-10A	61	15	22
PAVCKS-01A_vs_PAVCKS-11A	26	6	16
PAVYKD-01A_vs_PAVYKD-10A	31	0	7
PAWFBL-01A_vs_PAWFBL-11A	18	8	9
PAWFWK-01A_vs_PAWFWK-10A	73	22	3
SJBT030128_D1_vs_SJBT030128_G1	34	8	20
SJBT030255_D1_vs_SJBT030255_G1	47	43	23
SJBT030581_D1_vs_SJBT030581_G1	8	4	2
SJBT030997_D1_vs_SJBT030997_G1	99	0	8
SJBT031235_D1_vs_SJBT031235_G1	41	0	80
SJBT031605_D1_vs_SJBT031605_G1	1503	563	208
SJBT031948_D2_vs_SJBT031948_G1	395	1020	24
SJBT032346_D1_vs_SJBT032346_G1	11	0	19
SJBT032393_D1_vs_SJBT032393_G1	771	0	623
SJBT032417_D2_vs_SJBT032417_G1	88	141	19
SJBT033236_D2_vs_SJBT033236_G1	11	0	27
SJBT034089_D1_vs_SJBT034089_G1	16	0	19
SJBT034110_D2_vs_SJBT034110_G1	50	11	57
SJMRT014754_D1_vs_SJMRT014754_G1	34	81	105
SJMRT015723_D1_vs_SJMRT015723_G1	214	154	43
SJMRT063832_X1_vs_SJMRT063832_G1	9	4	0
