Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
PAJMRB-01A_vs_PAJMRB-11A	1.54E+00	2.49E+00	1.96E+00	9.46E-01	2.06E+00	0.00E+00	2.26E+00
PAJNER-01A_vs_PAJNER-11A	1.88E+00	2.35E+00	2.30E+00	7.04E-01	1.59E+00	6.62E-01	1.84E+00
PAJNFP-01A_vs_PAJNFP-11A	3.43E+00	4.01E+00	4.72E+00	1.64E+00	2.16E+00	2.16E+00	2.46E+00
PAJNFZ-01A_vs_PAJNFZ-10A	2.81E+00	2.73E+00	3.13E+00	1.04E+00	2.23E+00	1.66E+00	1.83E+00
PAKHTL-01A_vs_PAKHTL-11A	4.26E+00	5.83E+00	2.75E+00	1.24E+00	3.86E+00	1.34E+00	5.48E+00
PAKLYZ-01A_vs_PAKLYZ-10A	3.80E+00	1.75E+01	1.31E+01	3.46E+00	2.67E+00	9.33E-01	3.29E+00
PAKTCT-01A_vs_PAKTCT-11A	3.75E+00	4.90E+00	4.65E+00	1.71E+00	2.86E+00	9.88E-01	5.31E+00
PARECB-01A_vs_PARECB-11A	2.39E+00	2.08E+00	2.31E+00	9.28E-01	1.67E+00	8.63E-01	1.70E+00
PAREWI-01A_vs_PAREWI-11A	2.12E+00	2.66E+00	2.69E+00	8.50E-01	1.96E+00	1.38E+00	1.67E+00
PARGRN-01A_vs_PARGRN-10A	1.95E+00	2.65E+00	2.94E+00	5.15E-01	1.81E+00	1.03E+00	2.29E+00
PARIRN-01A_vs_PARIRN-10A	2.62E+00	4.89E+00	6.63E+00	1.54E+00	3.84E+00	5.75E-01	4.91E+00
PARPFY-01A_vs_PARPFY-11A	2.33E+00	3.37E+00	3.24E+00	7.21E-01	2.04E+00	1.07E+00	3.19E+00
PARRCL-01A_vs_PARRCL-11A	2.88E+00	2.33E+00	3.10E+00	1.47E+00	1.93E+00	1.61E+00	2.22E+00
PARTKH-01A_vs_PARTKH-10A	3.14E+00	3.56E+00	4.03E+00	1.57E+00	1.84E+00	1.35E+00	2.19E+00
PARUGK-01A_vs_PARUGK-10A	2.34E+00	3.59E+00	2.94E+00	1.16E+00	2.14E+00	7.84E-01	3.05E+00
PARZBI-01A_vs_PARZBI-11A	3.02E+00	3.35E+00	4.10E+00	1.20E+00	2.78E+00	1.44E+00	3.37E+00
PARZRH-01A_vs_PARZRH-10A	1.57E+00	7.34E+00	9.33E+00	2.36E+00	2.68E+00	1.32E+00	5.42E+00
PASABD-01A_vs_PASABD-10A	2.13E+00	2.51E+00	2.78E+00	1.04E+00	1.76E+00	7.78E-01	1.93E+00
PASADZ-01A_vs_PASADZ-10A	3.06E+00	3.27E+00	3.53E+00	8.57E-01	2.15E+00	1.95E+00	2.47E+00
PASCDH-01A_vs_PASCDH-10A	1.99E+00	2.02E+00	2.20E+00	9.08E-01	1.67E+00	5.02E-01	1.62E+00
PASDLA-01A_vs_PASDLA-11A	1.73E+00	2.09E+00	2.77E+00	1.27E+00	1.43E+00	6.91E-01	1.73E+00
PASGCL-01A_vs_PASGCL-10A	3.01E+00	3.91E+00	2.64E+00	1.46E+00	2.73E+00	5.35E-01	3.83E+00
PASRHU-01A_vs_PASRHU-10A	8.97E-01	1.91E+00	1.95E+00	5.03E-01	1.36E+00	6.35E-01	1.26E+00
PASVDP-01A_vs_PASVDP-10A	1.89E+00	3.35E+00	3.70E+00	1.26E+00	1.66E+00	8.56E-01	1.01E+00
PASWZZ-01A_vs_PASWZZ-10A	1.74E+00	1.79E+00	1.67E+00	6.90E-01	1.40E+00	8.16E-01	8.80E-01
PASXNA-01A_vs_PASXNA-11A	3.01E+00	2.01E+00	4.38E+00	1.33E+00	1.93E+00	1.11E+00	3.00E+00
PASYNF-01A_vs_PASYNF-10A	1.22E+00	2.83E+00	2.56E+00	1.24E+00	1.93E+00	7.15E-01	2.13E+00
PASZYE-01A_vs_PASZYE-10A	2.62E+00	3.13E+00	3.18E+00	1.06E+00	1.96E+00	8.09E-01	2.73E+00
PATAFT-01A_vs_PATAFT-10A	3.00E+00	2.65E+00	2.93E+00	1.35E+00	1.44E+00	8.81E-01	2.23E+00
PATBLF-01A_vs_PATBLF-10A	3.25E+00	4.80E+00	5.73E+00	1.69E+00	2.82E+00	1.10E+00	3.82E+00
PATDVL-01A_vs_PATDVL-10A	2.01E+00	2.85E+00	2.17E+00	1.25E+00	1.79E+00	8.37E-01	1.61E+00
PATENH-01A_vs_PATENH-11A	2.31E+00	5.08E+00	4.24E+00	1.53E+00	3.61E+00	9.40E-01	5.05E+00
PATFXW-01A_vs_PATFXW-10A	2.71E+00	3.00E+00	3.29E+00	5.57E-01	2.33E+00	1.11E+00	2.65E+00
PATFZZ-01A_vs_PATFZZ-10A	3.16E+00	3.24E+00	5.71E+00	1.54E+00	2.70E+00	1.17E+00	3.17E+00
PATXEE-01A_vs_PATXEE-10A	2.68E+00	3.99E+00	4.54E+00	1.46E+00	2.35E+00	1.03E+00	2.31E+00
PATXKA-01A_vs_PATXKA-10A	2.33E+00	3.28E+00	3.43E+00	1.23E+00	1.81E+00	1.27E+00	1.74E+00
PAUCGJ-01A_vs_PAUCGJ-10A	3.70E+00	5.38E+00	5.58E+00	1.68E+00	2.38E+00	1.69E+00	5.12E+00
PAUDPV-01A_vs_PAUDPV-11A	2.13E+00	2.94E+00	3.34E+00	8.29E-01	1.90E+00	8.85E-01	2.81E+00
PAUEKW-01A_vs_PAUEKW-10A	5.58E+00	7.47E+00	6.56E+00	2.37E+00	4.91E+00	9.61E-01	6.52E+00
PAUFVP-01A_vs_PAUFVP-11A	3.44E+00	4.24E+00	5.19E+00	1.72E+00	3.26E+00	1.07E+00	4.36E+00
PAUGYZ-01A_vs_PAUGYZ-10A	5.94E-01	4.28E+00	4.41E+00	1.25E+00	2.12E+00	4.91E-01	1.24E+00
PAUHAZ-01A_vs_PAUHAZ-10A	1.24E+00	2.15E+00	2.39E+00	9.56E-01	1.46E+00	7.20E-01	1.42E+00
PAUNPA-01A_vs_PAUNPA-11A	2.46E+00	7.33E+00	8.51E+00	1.80E+00	2.73E+00	4.51E-01	3.54E+00
PAVCKS-01A_vs_PAVCKS-11A	4.71E+00	5.46E+00	6.20E+00	2.18E+00	3.73E+00	2.10E+00	6.26E+00
PAVITI-01A_vs_PAVITI-10A	2.94E+00	5.10E+00	5.42E+00	1.81E+00	2.55E+00	1.11E+00	2.32E+00
PAVYDM-01A_vs_PAVYDM-11A	3.59E+00	2.21E+00	4.86E+00	1.65E+00	2.22E+00	1.03E+00	2.88E+00
PAVYKD-01A_vs_PAVYKD-10A	1.95E+00	2.23E+00	2.95E+00	7.23E-01	1.72E+00	9.11E-01	1.81E+00
PAWDGA-01A_vs_PAWDGA-11A	5.10E+00	9.04E+00	5.57E+00	2.15E+00	3.33E+00	6.53E-01	1.03E+01
PAWFBL-01A_vs_PAWFBL-11A	1.53E+00	4.41E+00	4.52E+00	1.61E+00	2.37E+00	6.73E-01	3.10E+00
PAWFWK-01A_vs_PAWFWK-10A	2.03E+00	2.55E+00	2.73E+00	7.08E-01	1.77E+00	7.95E-01	1.52E+00
