Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
AX4912_vs_AX4894	1912	0.984	309.744	16.2%	46.156	17.785%	0.02426	0.963
AX4914_vs_AX4895	956	0.972	222.025	23.224%	30.618	23.326%	0.05136	0.937
AX4915_vs_AX4895	3472	0.969	658.818	18.975%	108.474	24.755%	0.03219	0.908
AX4916_vs_AX4896	533	0.961	154.124	28.916%	23.681	27.879%	0.09414	0.933
AX4918_vs_AX4897	2626	0.989	378.78	14.424%	51.109	14.864%	0.01682	0.971
AX4921_vs_AX4898	1234	0.984	228.043	18.48%	31.243	17.993%	0.03542	0.966
AX4922_vs_AX4899	4398	0.988	630.595	14.338%	116.401	15.625%	0.01868	0.981
AX4923_vs_AX4906	2859	0.982	509.52	17.822%	68.084	19.225%	0.02854	0.945
AX4924_vs_AX4901	209	0.959	88.779	42.478%	15.188	28.863%	0.21208	0.951
AX4925_vs_AX4901	863	0.977	185.251	21.466%	24.852	21.549%	0.05815	0.945
AX4926_vs_AX4904	181	0.966	83.13	45.928%	15.358	28.407%	0.25964	0.963
AX4927_vs_AX4905	1745	0.988	271.693	15.57%	35.54	15.353%	0.02271	0.971
AX4928_vs_AQ5174	1675	0.966	391.637	23.381%	54.116	25.864%	0.04971	0.894
AX4929_vs_AQ5174	258	0.98	82.878	32.123%	12.318	19.75%	0.13582	0.976
AX4930_vs_AX4900	1106	0.987	199.211	18.012%	27.393	16.255%	0.04006	0.976
AX4931_vs_AX4907	268	0.931	115.947	43.264%	16.579	36.492%	0.20148	0.89
AX4932_vs_AX4908	851	0.981	200.231	23.529%	26.842	19.485%	0.0459	0.968
AX4933_vs_AX4909	1146	0.929	409.734	35.753%	54.731	37.099%	0.12338	0.793
AX4934_vs_AX4909	531	0.956	178.853	33.682%	23.147	29.286%	0.10527	0.916
AX4935_vs_AX4910	2613	0.985	517.377	19.8%	82.757	17.53%	0.03696	0.978
AX4936_vs_AX4911	685	0.969	182.668	26.667%	23.342	24.62%	0.06876	0.931
AX4937_vs_AX4894	1783	0.982	304.836	17.097%	45.946	19.098%	0.02669	0.957
AX4938_vs_AX4896	251	0.934	101.624	40.488%	13.563	35.904%	0.17517	0.874
AX4940_vs_AX4904	1000	0.952	277.632	27.763%	37.659	30.738%	0.06506	0.833
AX4942_vs_AX4898	2118	0.977	412.504	19.476%	59.904	21.434%	0.03496	0.942
AX4943_vs_AX4898	2216	0.981	395.447	17.845%	56.75	19.348%	0.03007	0.953
AX4944_vs_AX4897	2774	0.991	337.527	12.168%	47.944	13.135%	0.01339	0.978
AX4945_vs_AX4898	831	0.979	189.773	22.837%	24.325	20.581%	0.04945	0.956
AX4946_vs_AX4895	4856	0.997	357.719	7.367%	53.338	7.846%	0.005	0.993
AX4947_vs_AX4895	4663	0.996	345.604	7.412%	54.371	8.4%	0.00436	0.992
AX4951_vs_AX4903	832	0.979	224.61	26.996%	29.653	20.771%	0.08057	0.967
AX4958_vs_AQ5174	3245	0.99	399.378	12.307%	57.556	14.139%	0.0141	0.97
AX4961_vs_AQ5174	3235	0.99	426.245	13.176%	55.926	13.939%	0.01685	0.971
DIAF_vs_BLOOD	2309	0.984	387.842	16.797%	51.357	18.012%	0.02399	0.948
