Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
PATFXW-01A_vs_PATFXW-10A	1.29E+00	2.11E-01	1.65E+00	4.85E-01	1.07E+00	1.28E+00
PATFZZ-01A_vs_PATFZZ-10A	1.55E+00	7.43E-01	9.32E-01	8.51E-01	9.54E-01	1.43E+00
PATXEE-01A_vs_PATXEE-10A	3.07E+00	1.11E+00	3.46E+00	3.41E-01	2.07E+00	1.08E+00
PAUEKW-01A_vs_PAUEKW-10A	1.11E-01	2.45E-01	5.12E-01	3.77E-01	5.33E-01	1.94E-01
PAUFVP-01A_vs_PAUFVP-11A	1.01E+00	4.20E-01	9.01E-01	6.95E-01	5.83E-01	5.89E-01
PAUGYZ-01A_vs_PAUGYZ-10A	1.44E+00	4.90E-01	1.46E+00	3.64E-01	4.75E-01	7.12E-01
PAUHAZ-01A_vs_PAUHAZ-10A	1.37E+00	6.86E-01	1.31E+00	6.22E-01	8.13E-01	5.14E-01
PAVCKS-01A_vs_PAVCKS-11A	6.92E-01	3.50E-01	9.70E-01	4.89E-01	6.24E-01	2.75E-01
PAVYKD-01A_vs_PAVYKD-10A	6.60E-01	0.00E+00	7.36E-01	3.53E-01	4.11E-01	5.33E-01
PAWFBL-01A_vs_PAWFBL-11A	5.38E-01	4.28E-01	6.64E-01	3.70E-01	4.28E-01	3.01E-01
PAWFWK-01A_vs_PAWFWK-10A	1.09E+00	6.97E-01	1.09E+00	5.41E-02	8.83E-01	1.10E-01
SJBT030128_D1_vs_SJBT030128_G1	4.53E-01	5.00E-01	8.20E-01	4.93E-01	5.93E-01	1.90E-01
SJBT030255_D1_vs_SJBT030255_G1	1.42E+00	8.16E-01	1.22E+00	1.09E+00	8.06E-01	9.42E-01
SJBT030581_D1_vs_SJBT030581_G1	4.16E-01	2.10E-01	4.22E-01	1.86E-01	1.95E-01	1.00E-02
SJBT030997_D1_vs_SJBT030997_G1	1.10E+00	2.90E-01	1.47E+00	7.01E-02	1.02E+00	1.05E+00
SJBT031235_D1_vs_SJBT031235_G1	8.51E-01	1.02E-01	1.19E+00	6.58E-01	1.41E+00	3.52E-01
SJBT031605_D1_vs_SJBT031605_G1	1.74E+01	4.21E+00	1.66E+01	5.35E+00	3.14E+00	7.12E+00
SJBT031948_D2_vs_SJBT031948_G1	8.11E+00	6.68E+00	7.06E+00	3.26E+00	1.37E+00	2.60E+00
SJBT032346_D1_vs_SJBT032346_G1	2.18E-01	0.00E+00	5.42E-01	4.48E-01	4.99E-01	2.27E-01
SJBT032393_D1_vs_SJBT032393_G1	5.96E+00	3.09E+00	8.06E+00	2.75E+00	7.29E+00	2.21E+00
SJBT032417_D2_vs_SJBT032417_G1	1.92E+00	2.00E+00	1.76E+00	6.82E-01	1.28E+00	1.30E+00
SJBT033236_D2_vs_SJBT033236_G1	3.23E-01	1.47E-01	1.86E-01	1.94E-01	4.08E-01	0.00E+00
SJBT034089_D1_vs_SJBT034089_G1	4.58E-01	1.51E-01	2.63E-01	2.02E-01	5.30E-01	2.59E-01
SJBT034110_D2_vs_SJBT034110_G1	1.31E+00	5.79E-01	1.17E+00	6.55E-01	9.74E-01	5.36E-01
SJMRT014754_D1_vs_SJMRT014754_G1	2.20E+00	1.36E+00	1.93E+00	1.46E+00	4.63E-01	0.00E+00
SJMRT015723_D1_vs_SJMRT015723_G1	2.54E+00	2.08E+00	2.64E+00	1.26E+00	1.76E+00	1.57E+00
SJMRT063832_X1_vs_SJMRT063832_G1	3.93E-01	3.32E-01	1.97E-01	3.12E-02	1.57E-01	4.22E-02
