patient,sample,variantcaller,vcf
SJ034110,SJBT034110_D2_vs_SJBT034110_G1,strelka,./variant_calling/strelka/SJBT034110_D2_vs_SJBT034110_G1/SJBT034110_D2_vs_SJBT034110_G1.strelka.somatic_snvs.vcf.gz
SJ034110,SJBT034110_G1,haplotypecaller,./variant_calling/haplotypecaller/SJBT034110_G1/SJBT034110_G1.haplotypecaller.filtered.vcf.gz
SJ034110,SJBT034110_G1,manta,./variant_calling/manta/SJBT034110_G1/SJBT034110_G1.manta.diploid_sv.vcf.gz
SJ034110,SJBT034110_G1,strelka,./variant_calling/strelka/SJBT034110_G1/SJBT034110_G1.strelka.variants.vcf.gz
SJ063832,SJMRT063832_G1,haplotypecaller,./variant_calling/haplotypecaller/SJMRT063832_G1/SJMRT063832_G1.haplotypecaller.filtered.vcf.gz
SJ063832,SJMRT063832_G1,manta,./variant_calling/manta/SJMRT063832_G1/SJMRT063832_G1.manta.diploid_sv.vcf.gz
SJ063832,SJMRT063832_G1,strelka,./variant_calling/strelka/SJMRT063832_G1/SJMRT063832_G1.strelka.variants.vcf.gz
SJ063832,SJMRT063832_X1_vs_SJMRT063832_G1,manta,./variant_calling/manta/SJMRT063832_X1_vs_SJMRT063832_G1/SJMRT063832_X1_vs_SJMRT063832_G1.manta.diploid_sv.vcf.gz
SJ063832,SJMRT063832_X1_vs_SJMRT063832_G1,manta,./variant_calling/manta/SJMRT063832_X1_vs_SJMRT063832_G1/SJMRT063832_X1_vs_SJMRT063832_G1.manta.somatic_sv.vcf.gz
SJ063832,SJMRT063832_X1_vs_SJMRT063832_G1,mutect2,./variant_calling/mutect2/SJMRT063832_X1_vs_SJMRT063832_G1/SJMRT063832_X1_vs_SJMRT063832_G1.mutect2.filtered.vcf.gz
SJ063832,SJMRT063832_X1_vs_SJMRT063832_G1,strelka,./variant_calling/strelka/SJMRT063832_X1_vs_SJMRT063832_G1/SJMRT063832_X1_vs_SJMRT063832_G1.strelka.somatic_indels.vcf.gz
SJ063832,SJMRT063832_X1_vs_SJMRT063832_G1,strelka,./variant_calling/strelka/SJMRT063832_X1_vs_SJMRT063832_G1/SJMRT063832_X1_vs_SJMRT063832_G1.strelka.somatic_snvs.vcf.gz
