Samples	SBS96A	SBS96B	SBS96C
AX4912_vs_AX4894	2.80E+01	2.77E+01	3.27E+00
AX4914_vs_AX4895	1.38E+01	1.37E+01	2.02E+00
AX4915_vs_AX4895	2.34E+01	1.91E+01	1.07E+01
AX4916_vs_AX4896	7.42E+00	7.26E+00	1.41E+00
AX4918_vs_AX4897	1.92E+01	1.94E+01	3.48E+00
AX4921_vs_AX4898	1.66E+01	1.66E+01	2.22E+00
AX4922_vs_AX4899	2.58E+01	1.41E+01	2.15E+01
AX4923_vs_AX4906	3.68E+01	3.39E+01	7.45E+00
AX4924_vs_AX4901	5.73E+00	5.69E+00	6.95E-01
AX4925_vs_AX4901	1.23E+01	1.16E+01	2.68E+00
AX4926_vs_AX4904	4.65E+00	4.78E+00	3.35E-01
AX4927_vs_AX4905	1.55E+01	1.38E+01	6.39E+00
AX4928_vs_AQ5174	2.61E+01	2.54E+01	3.37E+00
AX4929_vs_AQ5174	7.36E+00	7.51E+00	7.03E-01
AX4930_vs_AX4900	2.15E+01	2.17E+01	2.28E+00
AX4931_vs_AX4907	5.39E+00	5.43E+00	1.43E+00
AX4932_vs_AX4908	2.03E+01	2.01E+01	2.11E+00
AX4933_vs_AX4909	2.36E+01	2.20E+01	3.77E+00
AX4934_vs_AX4909	9.75E+00	9.35E+00	1.54E+00
AX4935_vs_AX4910	1.57E+01	7.85E+00	1.35E+01
AX4936_vs_AX4911	6.05E+00	5.80E+00	1.81E+00
AX4937_vs_AX4894	2.60E+01	2.57E+01	3.13E+00
AX4938_vs_AX4896	3.74E+00	3.56E+00	9.82E-01
AX4940_vs_AX4904	1.17E+01	1.10E+01	3.16E+00
AX4942_vs_AX4898	1.56E+01	1.58E+01	4.04E+00
AX4943_vs_AX4898	1.47E+01	1.48E+01	4.13E+00
AX4944_vs_AX4897	2.09E+01	2.10E+01	4.17E+00
AX4945_vs_AX4898	1.12E+01	1.11E+01	2.18E+00
AX4946_vs_AX4895	2.33E+01	2.02E+01	7.38E+00
AX4947_vs_AX4895	2.56E+01	2.28E+01	7.65E+00
AX4951_vs_AX4903	2.29E+01	2.27E+01	1.84E+00
AX4958_vs_AQ5174	2.70E+01	2.53E+01	6.09E+00
AX4961_vs_AQ5174	2.76E+01	2.61E+01	6.38E+00
DIAF_vs_BLOOD	2.36E+01	2.22E+01	6.46E+00
HK_vs_BLOOD	7.61E-01	7.11E-01	1.26E-01
LNMETA_vs_BLOOD	2.78E+01	2.54E+01	7.87E+00
LN_vs_BLOOD	2.13E+01	2.11E+01	3.64E+00
OMEN_vs_BLOOD	1.47E+01	1.37E+01	4.75E+00
PABKLN-01A_vs_PABKLN-11A	8.32E+00	7.94E+00	1.91E+00
PADWRZ-01A_vs_PADWRZ-10A	6.99E+00	7.24E+00	1.63E+00
PADYZI-01A_vs_PADYZI-10A	5.35E+01	5.33E+01	2.04E+00
PAEHIP-01A_vs_PAEHIP-10A	6.46E+00	6.32E+00	9.61E-01
PAJLWM-01A_vs_PAJLWM-11A	5.13E+00	5.15E+00	1.23E+00
PAJMBW-01A_vs_PAJMBW-10A	1.28E+01	1.23E+01	1.56E+00
PAJMRB-01A_vs_PAJMRB-11A	9.31E+00	9.14E+00	9.56E-01
PAJNER-01A_vs_PAJNER-11A	4.05E+00	4.05E+00	1.17E+00
PAJNFP-01A_vs_PAJNFP-11A	1.26E+01	1.18E+01	2.26E+00
PAJNFZ-01A_vs_PAJNFZ-10A	5.76E+00	5.60E+00	1.36E+00
