Samples	SBS96A	SBS96B	SBS96C	SBS96D
AX4912_vs_AX4894	740	284	209	679
AX4914_vs_AX4895	354	154	117	331
AX4915_vs_AX4895	1274	707	1154	337
AX4916_vs_AX4896	201	163	20	149
AX4918_vs_AX4897	901	1052	158	515
AX4921_vs_AX4898	636	116	137	345
AX4922_vs_AX4899	487	98	3555	258
AX4923_vs_AX4906	1053	1259	484	63
AX4924_vs_AX4901	24	159	0	26
AX4925_vs_AX4901	277	383	83	120
AX4926_vs_AX4904	17	150	0	14
AX4927_vs_AX4905	389	492	734	130
AX4928_vs_AQ5174	618	745	119	193
AX4929_vs_AQ5174	11	236	0	11
AX4930_vs_AX4900	572	0	44	490
AX4931_vs_AX4907	36	157	33	42
AX4932_vs_AX4908	180	0	56	615
AX4933_vs_AX4909	335	536	275	0
AX4934_vs_AX4909	165	161	69	136
AX4935_vs_AX4910	351	32	2036	194
AX4936_vs_AX4911	167	252	62	204
AX4937_vs_AX4894	831	150	163	639
AX4938_vs_AX4896	119	0	31	101
AX4940_vs_AX4904	411	298	123	168
AX4942_vs_AX4898	1363	401	172	182
AX4943_vs_AX4898	1476	391	172	177
AX4944_vs_AX4897	966	1049	189	570
AX4945_vs_AX4898	434	0	134	263
AX4946_vs_AX4895	4302	187	367	0
AX4947_vs_AX4895	3982	387	294	0
AX4951_vs_AX4903	102	0	105	625
AX4958_vs_AQ5174	2338	605	268	34
AX4961_vs_AQ5174	2359	581	275	20
DIAF_vs_BLOOD	808	571	617	313
HK_vs_BLOOD	0	0	0	18
LNMETA_vs_BLOOD	842	845	834	277
LN_vs_BLOOD	306	899	154	519
OMEN_vs_BLOOD	563	251	338	373
PABKLN-01A_vs_PABKLN-11A	229	332	60	189
PADWRZ-01A_vs_PADWRZ-10A	309	56	77	213
PADYZI-01A_vs_PADYZI-10A	0	1216	0	151
PAEHIP-01A_vs_PAEHIP-10A	80	0	26	184
PAJLWM-01A_vs_PAJLWM-11A	126	0	47	155
PAJMBW-01A_vs_PAJMBW-10A	49	428	26	86
PAJMRB-01A_vs_PAJMRB-11A	97	0	22	193
PAJNER-01A_vs_PAJNER-11A	100	26	18	97
PAJNFP-01A_vs_PAJNFP-11A	199	473	89	157
