NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	305.93	42.047	44.625	36.88	0.223	0.845	90000.0
2	301.456	41.544	43.957	36.482	0.214	0.85	110000.0
3	306.319	41.685	45.196	36.461	0.221	0.851	80000.0
4	308.393	42.36	44.586	36.417	0.222	0.851	90000.0
5	302.475	41.39	43.31	35.894	0.223	0.852	100000.0
6	304.18	42.038	44.166	36.658	0.225	0.846	90000.0
7	304.673	42.093	44.512	36.499	0.223	0.85	100000.0
8	300.113	41.342	43.289	35.872	0.228	0.852	50000.0
9	305.756	41.289	44.21	35.956	0.215	0.854	40000.0
10	307.203	42.171	44.441	36.481	0.227	0.85	80000.0
11	306.734	41.385	43.936	35.693	0.21	0.861	80000.0
12	306.953	42.012	44.679	36.736	0.219	0.849	60000.0
13	302.629	41.228	43.798	36.055	0.214	0.852	40000.0
14	305.206	41.603	44.737	36.358	0.227	0.85	60000.0
15	303.777	41.299	44.15	35.962	0.215	0.854	50000.0
16	307.791	42.284	44.63	36.727	0.219	0.849	50000.0
17	305.646	41.871	44.088	36.39	0.224	0.849	50000.0
18	303.412	41.577	43.885	36.227	0.216	0.854	50000.0
19	308.536	42.355	44.937	36.527	0.227	0.85	60000.0
20	307.63	41.528	44.347	35.843	0.213	0.856	30000.0
21	303.21	41.817	43.952	36.328	0.22	0.851	60000.0
22	300.053	40.822	43.598	35.588	0.211	0.859	130000.0
23	304.05	42.081	44.152	36.817	0.219	0.846	90000.0
24	310.721	41.846	44.628	36.064	0.217	0.854	120000.0
25	304.692	41.803	44.31	36.732	0.218	0.847	60000.0
26	303.335	41.861	44.222	36.433	0.223	0.848	40000.0
27	305.165	41.73	44.408	36.395	0.218	0.852	130000.0
28	308.753	42.012	44.852	36.399	0.212	0.856	70000.0
29	303.936	41.588	44.054	36.181	0.219	0.851	80000.0
30	302.532	41.567	43.93	36.031	0.215	0.856	50000.0
31	305.316	41.905	44.31	36.467	0.222	0.851	40000.0
32	302.754	41.888	44.016	36.353	0.219	0.85	40000.0
33	302.257	42.098	43.623	36.542	0.216	0.85	70000.0
34	305.187	41.535	44.612	36.242	0.218	0.853	60000.0
35	301.915	41.381	43.744	36.014	0.213	0.854	70000.0
36	308.433	42.069	44.899	36.523	0.224	0.847	50000.0
37	305.212	41.747	44.493	36.358	0.225	0.853	100000.0
38	309.434	42.293	45.08	36.781	0.227	0.844	60000.0
39	302.84	41.296	43.996	35.894	0.211	0.857	70000.0
40	303.893	41.641	44.111	36.016	0.214	0.855	70000.0
41	301.199	41.392	43.855	36.214	0.221	0.852	80000.0
42	308.172	42.412	44.763	36.7	0.225	0.849	70000.0
43	304.156	41.952	43.758	36.236	0.224	0.85	30000.0
44	309.122	41.493	44.929	35.906	0.217	0.857	80000.0
45	303.704	41.755	44.017	36.39	0.219	0.849	60000.0
46	302.887	41.441	43.782	36.043	0.212	0.855	140000.0
47	305.675	42.056	43.898	36.494	0.22	0.849	60000.0
48	307.201	41.783	44.287	36.422	0.223	0.849	50000.0
49	306.888	41.618	44.777	36.529	0.22	0.849	40000.0
50	299.675	41.266	43.722	35.846	0.207	0.858	70000.0
51	309.064	42.573	44.836	37.037	0.228	0.844	70000.0
52	305.458	41.932	44.542	36.48	0.224	0.852	130000.0
53	305.966	42.01	44.623	36.614	0.22	0.851	70000.0
54	303.169	41.536	44.671	36.619	0.21	0.853	50000.0
55	303.011	40.772	43.985	35.484	0.208	0.861	50000.0
56	305.241	42.047	44.068	36.644	0.216	0.847	130000.0
57	303.973	41.61	43.886	36.025	0.216	0.855	40000.0
58	304.348	41.828	43.987	36.398	0.22	0.85	50000.0
59	303.878	41.788	44.32	36.31	0.223	0.851	60000.0
60	308.934	41.679	44.883	36.475	0.214	0.852	90000.0
61	303.261	41.506	44.088	36.071	0.216	0.853	30000.0
62	305.818	41.729	44.006	36.187	0.215	0.85	40000.0
63	305.125	41.848	44.065	36.384	0.213	0.852	60000.0
64	303.806	41.666	44.148	36.217	0.219	0.855	80000.0
65	303.405	41.478	44.058	36.106	0.219	0.854	30000.0
66	302.844	41.46	43.997	36.06	0.215	0.853	40000.0
67	302.748	41.351	43.9	36.058	0.214	0.856	40000.0
68	299.853	41.514	43.647	35.944	0.219	0.855	170000.0
69	308.585	42.128	44.691	36.577	0.226	0.851	50000.0
70	308.699	41.838	44.722	36.358	0.213	0.853	60000.0
71	304.566	41.833	44.256	36.302	0.216	0.853	40000.0
72	301.842	41.979	43.955	36.544	0.231	0.846	100000.0
73	305.187	42.302	44.251	36.647	0.222	0.847	50000.0
74	307.223	42.311	44.434	36.511	0.226	0.848	80000.0
75	308.438	42.505	44.225	36.536	0.229	0.85	30000.0
76	302.37	41.522	43.508	35.929	0.217	0.855	100000.0
77	305.621	42.215	44.157	36.619	0.229	0.846	80000.0
78	300.423	41.459	43.669	35.997	0.218	0.854	50000.0
79	305.439	41.842	43.938	36.423	0.223	0.847	60000.0
80	302.682	41.097	43.744	35.6	0.212	0.858	30000.0
81	302.939	41.866	44.121	36.386	0.219	0.851	30000.0
82	308.379	42.319	45.276	36.922	0.218	0.848	60000.0
83	308.546	41.74	44.49	36.169	0.216	0.855	40000.0
84	301.268	41.301	43.792	35.951	0.211	0.856	40000.0
85	301.663	41.766	43.768	36.195	0.222	0.85	70000.0
86	305.784	41.177	43.815	35.716	0.217	0.856	50000.0
87	304.981	41.527	44.549	36.269	0.216	0.853	60000.0
88	305.628	42.067	44.146	36.537	0.221	0.849	30000.0
89	300.72	41.613	43.287	36.097	0.226	0.85	90000.0
90	303.68	41.729	44.333	36.442	0.215	0.851	80000.0
91	299.581	41.748	43.445	36.157	0.217	0.852	70000.0
92	309.541	42.124	44.95	37.045	0.215	0.845	60000.0
93	302.065	41.162	43.936	36.085	0.214	0.853	160000.0
94	304.869	41.186	44.393	35.768	0.211	0.857	80000.0
95	303.81	41.578	44.102	36.14	0.223	0.85	120000.0
96	302.726	41.55	43.882	35.988	0.214	0.858	80000.0
97	306.187	41.715	44.414	36.073	0.212	0.856	60000.0
98	306.404	42.353	44.387	36.545	0.225	0.849	60000.0
99	304.421	41.724	44.112	36.392	0.215	0.851	60000.0
100	301.511	41.215	43.873	35.843	0.21	0.859	90000.0
